"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",2000,"Married or cohabiting:One earner",19384.3438927666,20125.3466829813,16770.3551005343,30784.6647805443,-5978.61813275661,19992.9278127666,0.168567521466828,0.136811953240605,9318.08628254133,17425.5497102724,2592.48812363059,25336.7123188165,25952.6482050764,-3208.42400989048,86826731.9688849,25680.8965407799,12567.2578853471,-67281934.8231851,2669739.45379359,22214536.5994931
"Female",2000,"Married or cohabiting:Two earners",19384.3438927666,20125.3466829813,16770.3551005343,30784.6647805443,-5978.61813275661,19992.9278127666,0.523333506512355,0.617516257876375,15179.3492723322,18935.3759250671,17795.4818583193,37270.2591752948,29843.5969319454,-10368.8196149699,230412644.331453,21605.8632950163,13754.1528181412,70096389.6737368,-123018383.212524,177490650.792677
"Female",2000,"Married or cohabiting:Zero earners",19384.3438927666,20125.3466829813,16770.3551005343,30784.6647805443,-5978.61813275661,19992.9278127666,0.0125297541885076,NA,0,15553.7249586201,0,9639.24240571356,0,9639.24240571356,0,0,15553.7249586201,NA,NA,NA
"Female",2000,"Not married or cohabiting:One earner",19384.3438927666,20125.3466829813,16770.3551005343,30784.6647805443,-5978.61813275661,19992.9278127666,0.250017644989144,0.837851441964748,25121.8783775763,19269.4195290211,28079.5136775859,26217.3603072536,0,-1862.15337033237,631108773.217736,0,13828.8945396913,NA,-225518284.21111,405590489.006613
"Female",2000,"Not married or cohabiting:Zero earners",19384.3438927666,20125.3466829813,16770.3551005343,30784.6647805443,-5978.61813275661,19992.9278127666,0.0455515728431654,NA,0,12763.4584480243,0,7318.35410824187,0,7318.35410824187,0,0,12763.4584480243,NA,NA,NA
"Male",2000,"Married or cohabiting:One earner",25998.4992909069,20407.9262265749,30372.5361202382,32942.0418706787,-7940.03922744101,10509.5449778815,0.181325011070234,0.796173335707991,25660.7860860501,17415.8227890992,25902.4829894407,25308.1058789435,2603.06529697046,-3197.4424074677,658475942.554022,9335.24839453735,12560.3552234487,-67425857.1486754,-235237273.365068,355812812.04027
"Male",2000,"Married or cohabiting:Two earners",25998.4992909069,20407.9262265749,30372.5361202382,32942.0418706787,-7940.03922744101,10509.5449778815,0.563745830148297,0.79643042263244,21594.4876229272,18937.7512041794,29816.891153853,37262.1551634515,17805.0880331148,-10359.8240235163,466321895.696754,15185.2956100194,13744.5094513198,70164502.8401944,-210785353.704528,325701044.832429
"Male",2000,"Married or cohabiting:Zero earners",25998.4992909069,20407.9262265749,30372.5361202382,32942.0418706787,-7940.03922744101,10509.5449778815,0.0134820776146004,NA,0,15524.2392594712,0,9619.91110076539,0,9619.91110076539,0,0,15524.2392594712,NA,NA,NA
"Male",2000,"Not married or cohabiting:One earner",25998.4992909069,20407.9262265749,30372.5361202382,32942.0418706787,-7940.03922744101,10509.5449778815,0.215207919005358,0.893009786547191,32546.6424172001,22196.4972811354,41200.2499277932,32438.4794910363,0,-8761.77043675687,1059283932.63309,0,16177.4397460741,NA,-414154498.909749,645129433.723364
"Male",2000,"Not married or cohabiting:Zero earners",25998.4992909069,20407.9262265749,30372.5361202382,32942.0418706787,-7940.03922744101,10509.5449778815,0.0262391621615099,NA,0,15738.1110066108,0,8992.30851029814,0,8992.30851029814,0,0,15738.1110066108,NA,NA,NA
"Female",2010,"Married or cohabiting:One earner",20857.5363762371,21635.3529532569,17372.4134773947,31159.9280848448,-4834.18770174607,18621.7023091962,0.187892950696937,0.1582168956756,10676.5132530114,17803.9654175666,3495.50182213391,25818.368653906,24062.9735638314,-1740.10673205936,113987935.241728,24927.4600056489,10725.0360726765,-84112170.825599,198779.133042282,30074543.5491716
"Female",2010,"Married or cohabiting:Two earners",20857.5363762371,21635.3529532569,17372.4134773947,31159.9280848448,-4834.18770174607,18621.7023091962,0.471074088931252,0.659478965998045,16609.7454934582,20082.6827537233,19999.0361507149,40054.6642645124,29932.5297974589,-9876.90168366145,275883645.357455,21752.0517915272,12910.4650924545,75508840.1313358,-131411241.307632,219981244.181144
"Female",2010,"Married or cohabiting:Zero earners",20857.5363762371,21635.3529532569,17372.4134773947,31159.9280848448,-4834.18770174607,18621.7023091962,0.0178387177674359,NA,0,11951.8589654728,0,7625.19075551532,0,7625.19075551532,0,0,11951.8589654728,NA,NA,NA
"Female",2010,"Not married or cohabiting:One earner",20857.5363762371,21635.3529532569,17372.4134773947,31159.9280848448,-4834.18770174607,18621.7023091962,0.256860201132321,0.870091090144933,27024.4755436729,20716.8088936024,28399.1274611998,26602.5404257269,0,-1796.58703547287,730322278.410573,0,13610.6023277122,NA,-243192301.699829,487129976.710742
"Female",2010,"Not married or cohabiting:Zero earners",20857.5363762371,21635.3529532569,17372.4134773947,31159.9280848448,-4834.18770174607,18621.7023091962,0.0663340414720537,NA,0,11969.8746434902,0,7099.92365584623,0,7099.92365584623,0,0,11969.8746434902,NA,NA,NA
"Male",2010,"Married or cohabiting:One earner",26374.2506657467,21771.886333924,29171.6005157247,33419.5719797385,-6624.46322079562,10872.4346848094,0.202896902843367,0.798321719266983,24912.8566961414,17793.9267274319,24021.5485808784,25800.3512183716,3512.81356124852,-1734.01092375533,620650428.762477,10695.4769762844,10715.6066772244,-84383224.505646,-182373144.69059,353894059.566231
"Male",2010,"Married or cohabiting:Two earners",26374.2506657467,21771.886333924,29171.6005157247,33419.5719797385,-6624.46322079562,10872.4346848094,0.508325346814126,0.79728151843828,21744.1578179099,20085.3434137325,29905.1854282908,40032.9341919414,19986.6006222996,-9858.85185864904,472808399.21017,16607.0368485942,12917.2792144251,75594823.0182858,-200199387.200816,348203835.027641
"Male",2010,"Married or cohabiting:Zero earners",26374.2506657467,21771.886333924,29171.6005157247,33419.5719797385,-6624.46322079562,10872.4346848094,0.0194158191964119,NA,0,11897.0237470808,0,7581.66418569829,0,7581.66418569829,0,0,11897.0237470808,NA,NA,NA
"Male",2010,"Not married or cohabiting:One earner",26374.2506657467,21771.886333924,29171.6005157247,33419.5719797385,-6624.46322079562,10872.4346848094,0.229103009420985,0.927988925487323,32866.8704602245,22885.4823188783,39703.2713615377,32107.6179703023,0,-7595.65339123539,1080231173.84918,0,14420.7437906518,NA,-382221862.178556,698009311.670616
"Male",2010,"Not married or cohabiting:Zero earners",26374.2506657467,21771.886333924,29171.6005157247,33419.5719797385,-6624.46322079562,10872.4346848094,0.0402589217251104,NA,0,15016.3917830612,0,8242.87712042967,0,8242.87712042967,0,0,15016.3917830612,NA,NA,NA
